Date	Value
1995-01-31	148000
1995-02-29	153200
1995-03-31	164900
1995-04-30	193200
1995-05-31	264000
1995-06-30	332300
1995-07-31	372400
1995-08-31	364500
1995-09-30	274300
1995-10-31	235200
1995-11-30	159320
1995-12-31	193300
1996-01-31	156200
1996-02-29	167500
1996-03-31	187100
1996-04-30	209300
1996-05-31	276500
1996-06-30	357400
1996-07-31	393000
1996-08-31	389300
1996-09-30	296600
1996-10-31	241800
1996-11-30	171900
1996-12-31	200600
1997-01-31	161100
1997-02-28	172300
1997-03-31	196400
1997-04-30	209800
1997-05-31	273400
1997-06-30	360000
1997-07-31	414800
1997-08-31	412400
1997-09-30	319600
1997-10-31	256600
1997-11-30	185200
1997-12-31	230800
1998-01-31	172100
1998-02-28	190000
1998-03-31	215200
1998-04-30	232300
1998-05-31	305400
1998-06-30	420600
1998-07-31	484900
1998-08-31	455900
1998-09-30	323600
1998-10-31	320700
1998-11-30	233100
1998-12-31	269000
1999-01-31	197800
1999-02-28	221200
1999-03-31	253100
1999-04-30	258800
1999-05-31	323700
1999-06-30	424100
1999-07-31	496400
1999-08-31	440700
1999-09-30	359400
1999-10-31	307300
1999-11-30	238900
1999-12-31	285300
2000-01-31	193776
2000-02-29	230319
2000-03-31	254972
2000-04-30	258928
2000-05-31	318803
2000-06-30	440963
2000-07-31	493628
2000-08-31	473647
2000-09-30	370854
2000-10-31	308059
2000-11-30	250634
2000-12-31	277310
2001-01-31	214859
2001-02-28	227896
2001-03-31	259945
2001-04-30	270829
2001-05-31	336058
2001-06-30	464766
2001-07-31	501881
2001-08-31	496083
2001-09-30	264884
2001-10-31	265788
2001-11-30	205089
2001-12-31	259006
2002-01-31	197044
2002-02-28	212876
2002-03-31	249850
2002-04-30	240347
2002-05-31	315939
2002-06-30	437658
2002-07-31	509412
2002-08-31	501821
2002-09-30	332999
2002-10-31	291311
2002-11-30	224222
2002-12-31	279071
2003-01-31	198931
2003-02-28	209505
2003-03-31	231550
2003-04-30	197731
2003-05-31	248324
2003-06-30	404021
2003-07-31	479355
2003-08-31	446142
2003-09-30	306818
2003-10-31	283261
2003-11-30	220944
2003-12-31	275482
2004-01-31	185631
2004-02-29	207889
2004-03-31	255082
2004-04-30	259574
2004-05-31	305654
2004-06-30	437396
2004-07-31	538078
2004-08-31	533602
2004-09-30	360434
2004-10-31	307173
2004-11-30	246005
2004-12-31	286184
2005-01-31	211696
2005-02-28	235451
2005-03-31	256077
2005-04-30	244788
2005-05-31	304333
2005-06-30	456517
2005-07-31	521767
2005-08-31	463530
2005-09-30	368082
2005-10-31	305914
2005-11-30	244557
2005-12-31	279223
2006-01-31	197728
2006-02-28	208719
2006-03-31	247667
2006-04-30	258053
2006-05-31	340453
2006-06-30	461026
2006-07-31	493733
2006-08-31	476475
2006-09-30	357521
2006-10-31	288352
2006-11-30	232042
2006-12-31	275393
2007-01-31	196856
2007-02-28	205627
2007-03-31	238175
2007-04-30	236787
2007-05-31	333565
2007-06-30	460084
2007-07-31	488759
2007-08-31	468505
2007-09-30	356002
2007-10-31	296001
2007-11-30	226760
2007-12-31	263332
2008-01-31	184794
2008-02-29	197016
2008-03-31	228602
2008-04-30	242395
2008-05-31	316552
2008-06-30	429239
2008-07-31	472542
2008-08-31	432501
2008-09-30	318123
2008-10-31	276633
2008-11-30	213697
2008-12-31	269665
2009-01-31	172516
2009-02-28	179756
2009-03-31	197503
2009-04-30	213929
2009-05-31	267608
2009-06-30	377849
2009-07-31	454694
2009-08-31	394796
2009-09-30	315284
2009-10-31	254070
2009-11-30	199425
2009-12-31	252843
2010-01-31	167074
2010-02-28	189106
2010-03-31	218197
2010-04-30	225643
2010-05-31	273232
2010-06-30	412789
2010-07-31	461080
2010-08-31	413470
2010-09-30	330444
2010-10-31	287287
2010-11-30	229515
2010-12-31	257274
2011-01-31	181821
2011-02-28	177090
2011-03-31	225670
2011-04-30	225295
2011-05-31	307285
2011-06-30	406470
2011-07-31	462553
2011-08-31	431791
2011-09-30	341120
2011-10-31	280997
2011-11-30	225689
2011-12-31	253007
2012-01-31	182378
2012-02-29	193390
2012-03-31	225366
2012-04-30	242905
2012-05-31	306501
2012-06-30	424754
2012-07-31	446048
2012-08-31	432853
2012-09-30	331058
2012-10-31	280675
2012-11-30	208087
2012-12-31	260644
2013-01-31	185144
2013-02-28	188932
2013-03-31	232514
2013-04-30	240166
2013-05-31	326553
2013-06-30	456846
2013-07-31	505409
2013-08-31	471821
2013-09-30	366067
2013-10-31	296183
2013-11-30	224566
2013-12-31	276161
2014-01-31	161568
2014-02-28	165605
2014-03-31	202916
2014-04-30	209928
2014-05-31	293771
2014-06-30	409699
2014-07-31	468524
2014-08-31	423053
2014-09-30	330791
2014-10-31	280995
2014-11-30	206608
2014-12-31	256665
2015-01-31	173206
2015-02-28	177841
2015-03-31	216511
2015-04-30	227664
2015-05-31	311212
2015-06-30	441129
2015-07-31	498932
2015-08-31	446356
2015-09-30	342322
2015-10-31	296165
2015-11-30	225224
2015-12-31	276483
2016-01-31	193437
2016-02-29	226448
2016-03-31	267993
2016-04-30	279412
2016-05-31	378497
2016-06-30	545299
2016-07-31	629581
2016-08-31	538070
2016-09-30	452403
	
	
